 Nigeria,154.9,143.4,136.6,130.3,123.2,120.7 hhhh,118.1 hhhh,115.6 hhhh,113.1 hhhh,110.6 hhh
 Norway,17.8,15.7,12.8,10,8.9,8.3 hhhh,7.7 hhhh,7.1 hhhh,6.5 hhhh,5.9 hhh
 Oman,93.9,72.9,43.5,21.1,13.6,12.5 hhhh,11.4 hhhh,10.3 hhhh,9.2 hhhh,8.1 hhh
 Pakistan,95.2,76.1,59.8,45.9,41.6,41.0 hhhh,40.5 hhhh,39.9 hhhh,39.3 hhhh,38.7 hhh
" Palestine, State of",99.9,110.1,97.5,72,65.8,64.4 hhhh,62.9 hhhh,61.5 hhhh,60.1 hhhh,58.6 hhh
 Panama,102.6,92.5,94,85.9,81.9,80.5 hhhh,79.0 hhhh,77.5 hhhh,76.0 hhhh,74.5 hhh
 Papua New Guinea,79.6,68.6,68.2,65,61.3,60.0 hhhh,58.7 hhhh,57.4 hhhh,56.1 hhhh,54.8 hhh
 Paraguay,91.6,92.4,91.9,76.6,67.8,65.7 hhhh,63.7 hhhh,61.6 hhhh,59.5 hhhh,57.4 hhh
 Peru,72,70,70.5,61.5,54.7,53.6 hhhh,52.4 hhhh,51.3 hhhh,50.2 hhhh,49.1 hhh
 Philippines,50.1,51,49.1,53.9,54.1,55.6 hhhh,57.1 hhhh,58.7 hhhh,60.2 hhhh,61.7 hhh
 Poland,32.5,29.4,19,15.5,15.9,15.4 hhhh,14.9 hhhh,14.4 hhhh,13.9 hhhh,13.4 hhh
 Portugal,28,21.8,20.4,20.2,16.2,15.0 hhhh,13.7 hhhh,12.4 hhhh,11.1 hhhh,9.9 hhh
 Qatar,57.7,44,22.8,19,15.2,14.3 hhhh,13.4 hhhh,12.5 hhhh,11.6 hhhh,10.7 hhh
 Romania,59.5,48.2,40.8,37.2,39.1,38.2 hhhh,37.3 hhhh,36.4 hhhh,35.5 hhhh,34.6 hhh
 Russian Federation,49.2,51.8,35.1,27.6,29.3,28.1 hhhh,26.9 hhhh,25.8 hhhh,24.6 hhhh,23.4 hhh
 Rwanda,71.9,58.7,52.6,46.6,40.4,37.6 hhhh,34.8 hhhh,32.0 hhhh,29.2 hhhh,26.3 hhh
 Saint Lucia,120.8,94.6,69.8,62,61.4,59.9 hhhh,58.4 hhhh,56.9 hhhh,55.4 hhhh,53.9 hhh
 Saint Vincent and the Grenadines,95.1,88,76.1,64.6,58.9,57.3 hhhh,55.8 hhhh,54.2 hhhh,52.6 hhhh,51.0 hhh
 Samoa,39.4,33.7,45.1,37,31.7,30.3 hhhh,29.0 hhhh,27.6 hhhh,26.3 hhhh,24.9 hhh
 Sao Tome and Principe,123.2,115.4,107.7,100.2,93,91.3 hhhh,89.5 hhhh,87.8 hhhh,86.0 hhhh,84.3 hhh
 Saudi Arabia,84.7,59.9,37.2,20.7,12,11.4 hhhh,10.7 hhhh,10.1 hhhh,9.5 hhhh,8.8 hhh
 Senegal,146.9,125.6,111.9,104.5,95.7,92.3 hhhh,88.9 hhhh,85.4 hhhh,82.0 hhhh,78.6 hhh
 Serbia,46.2,36,30.8,25.6,21.9,21.3 hhhh,20.7 hhhh,20.2 hhhh,19.6 hhhh,19.0 hhh
 Seychelles,67.6,68.1,57.9,57.9,59.9,59.4 hhhh,58.9 hhhh,58.4 hhhh,57.9 hhhh,57.4 hhh
 Sierra Leone,190.3,176.1,164.5,155.9,144.6,139.3 hhhh,134.1 hhhh,128.8 hhhh,123.5 hhhh,118.2 hhh
 Singapore,8,7.9,7.4,7.5,6,5.5 hhhh,5.1 hhhh,4.7 hhhh,4.2 hhhh,3.8 hhh
 Slovakia,51,45.4,27.2,20.7,20.7,20.6 hhhh,20.5 hhhh,20.4 hhhh,20.3 hhhh,20.2 hhh
 Slovenia,34.7,19.5,9.2,5.9,4.9,4.7 hhhh,4.5 hhhh,4.2 hhhh,4.0 hhhh,3.8 hhh
 Solomon Islands,98.9,84.8,71.1,70.1,62.6,59.8 hhhh,56.9 hhhh,54.1 hhhh,51.3 hhhh,48.4 hhh
 Somalia,76.7,101.7,126.6,126.9,127.2,122.5 hhhh,117.9 hhhh,113.2 hhhh,108.6 hhhh,103.9 hhh
 South Africa,95.4,90.8,80.6,70.7,59.2,56.4 hhhh,53.7 hhhh,51.0 hhhh,48.2 hhhh,45.5 hhh
 South Sudan,141.2,136.1,129.8,119.9,98.3,91.8 hhhh,85.3 hhhh,78.9 hhhh,72.4 hhhh,65.9 hhh
 Spain,15.1,9.7,8.1,10.3,12.2,11.4 hhhh,10.7 hhhh,9.9 hhhh,9.2 hhhh,8.4 hhh
 Sri Lanka,33.5,29.3,29.2,27.9,22.3,20.8 hhhh,19.3 hhhh,17.8 hhhh,16.3 hhhh,14.8 hhh
 Sudan,101.5,108,110.5,118.9,106.6,100.1 hhhh,93.6 hhhh,87.1 hhhh,80.6 hhhh,74.0 hhh
 Suriname,71.2,65.3,59.9,55.2,51.3,50.2 hhhh,49.2 hhhh,48.2 hhhh,47.2 hhhh,46.1 hhh
 Swaziland,141.8,124.8,109.4,102.4,88,84.5 hhhh,81.0 hhhh,77.4 hhhh,73.9 hhhh,70.4 hhh
 Sweden,11.8,11.4,7.2,6.4,6,5.9 hhhh,5.9 hhhh,5.8 hhhh,5.7 hhhh,5.7 hhh
 Switzerland,6.3,6.5,5.7,5.3,4.5,4.2 hhhh,3.9 hhhh,3.6 hhhh,3.3 hhhh,2.9 hhh
 Syrian Arab Republic,82.1,67.9,64,53.7,44.6,43.5 hhhh,42.5 hhhh,41.5 hhhh,40.5 hhhh,39.4 hhh
 Tajikistan,56.4,57.4,50.2,40.9,42.4,41.5 hhhh,40.6 hhhh,39.8 hhhh,38.9 hhhh,38.1 hhh
 Tanzania (United Republic of),146.4,139.5,133.3,132,130.4,128.1 hhhh,125.7 hhhh,123.3 hhhh,120.9 hhhh,118.6 hhh
 Thailand,53.2,50.2,45.7,41.9,42.4,42.9 hhhh,43.3 hhhh,43.7 hhhh,44.2 hhhh,44.6 hhh
 The former Yugoslav Republic of Macedonia,48.7,43.2,34.8,23.7,20.7,20.1 hhhh,19.4 hhhh,18.8 hhhh,18.2 hhhh,17.6 hhh
 Timor-Leste,54.5,59.5,71.9,70.1,65.8,62.0 hhhh,58.1 hhhh,54.3 hhhh,50.4 hhhh,46.6 hhh
 Togo,127,109.7,97,93.6,92.7,92.6 hhhh,92.4 hhhh,92.3 hhhh,92.2 hhhh,92.0 hhh
 Tonga,25.5,25.5,22.5,21.3,19,18.2 hhhh,17.5 hhhh,16.7 hhhh,15.9 hhhh,15.2 hhh
 Trinidad and Tobago,72.1,56.1,44.3,38.4,38.1,36.8 hhhh,35.5 hhhh,34.1 hhhh,32.8 hhhh,31.5 hhh
 Tunisia,23.7,17.1,9.7,6.1,6,6.2 hhhh,6.3 hhhh,6.5 hhhh,6.6 hhhh,6.8 hhh
 Turkey,71.1,60.8,53,45.1,39.7,37.3 hhhh,34.9 hhhh,32.4 hhhh,30.0 hhhh,27.6 hhh
 Turkmenistan,22.3,26.4,25.4,24.4,20.9,20.0 hhhh,19.1 hhhh,18.2 hhhh,17.3 hhhh,16.4 hhh
 Uganda,185.5,201.3,191,172.5,149.9,142.3 hhhh,134.7 hhhh,127.1 hhhh,119.5 hhhh,111.9 hhh
 Ukraine,61.4,57.7,43.5,29.3,30.4,29.2 hhhh,27.9 hhhh,26.6 hhhh,25.4 hhhh,24.1 hhh
 United Arab Emirates,74,41.7,27.6,25.6,29.9,29.8 hhhh,29.8 hhhh,29.7 hhhh,29.7 hhhh,29.7 hhh
 United Kingdom,31.7,30.5,30.3,26.6,25.6,23.4 hhhh,21.2 hhhh,19.0 hhhh,16.8 hhhh,14.6 hhh
 United States,53.3,59.6,51.3,43.2,39.7,36.3 hhhh,32.9 hhhh,29.4 hhhh,26.0 hhhh,22.6 hhh
 Uruguay,66.4,70.6,67.3,63.5,61.2,60.2 hhhh,59.2 hhhh,58.2 hhhh,57.2 hhhh,56.1 hhh
 Uzbekistan,42.8,58.1,40.6,18.3,18,17.9 hhhh,17.9 hhhh,17.8 hhhh,17.8 hhhh,17.7 hhh
 Vanuatu,77.7,69.8,62,54.7,47.7,46.8 hhhh,45.8 hhhh,44.9 hhhh,44.0 hhhh,43.1 hhh
 Venezuela (Bolivarian Republic of),100.2,94.9,90.6,88,82.6,81.9 hhhh,81.3 hhhh,80.6 hhhh,80.0 hhhh,79.4 hhh
 Viet Nam,26.7,33.8,29.7,27.9,30.8,32.4 hhhh,33.9 hhhh,35.5 hhhh,37.1 hhhh,38.6 hhh
 Yemen,152.5,146.2,111.3,86.3,78.1,74.8 hhhh,71.5 hhhh,68.1 hhhh,64.8 hhhh,61.5 hhh
 Zambia,171,162.7,143.7,143.3,122,115.7 hhhh,109.4 hhhh,103.1 hhhh,96.8 hhhh,90.4 hhh
 Zimbabwe,108.3,111,110.1,107.3,117.5,115.9 hhhh,114.4 hhhh,112.8 hhhh,111.2 hhhh,109.7 hhh
